sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence,oof_proba,oof_pred,oof_abs_error
0fe192b3960c,GS_Q1-2026,"They do infrastructure, they do real estate, they do credit.",substantive,2,1,False,1,0.7166666666666667,0.12583057392117916,True,substantive,boilerplate,substantive,0.7,0.85,0.6,0.011001615785062313,0,0.9889983842149377
6b85be02128d,PLTR_Q3-2024,And we're going to prove this by opening up part of our products and allowing you to sit on government data.,substantive,3,0,False,3,0.7166666666666667,0.12583057392117916,False,substantive,substantive,substantive,0.7,0.85,0.6,0.01184023730456829,0,0.9881597626954317
d403bd98fb72,AMD_Q1-2024,"And from our experience, I think you'll see a faster transition than, for example, when we went from Milan to Genoa.",substantive,2,1,False,1,0.6566666666666666,0.06027713773341708,True,boilerplate,substantive,substantive,0.6,0.72,0.65,0.012225263752043247,0,0.9877747362479568
34d9dbfede38,GS_Q2-2025,And so it's the continued execution in Asset Wealth Management that's uplifting those returns.,substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.013701394200325012,0,0.986298605799675
a8eace4b7c43,AVGO_Q1-2024,And this is -- a lot of this should be on the back of AI networking that appears to be exploding here.,substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.014800765551626682,0,0.9851992344483733
6453fa355185,C_Q4-2024,Or how do you think about the rest of the year on the buybacks.,substantive,0,3,False,3,0.89,0.036055512754639925,False,boilerplate,boilerplate,boilerplate,0.9,0.92,0.85,0.019597971811890602,0,0.9804020281881094
fa3932dbc56a,PLTR_Q3-2024,And we are going to maintain the contradiction of having both high margins and high growth.,substantive,0,3,False,3,0.7333333333333334,0.12583057392117916,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.75,0.023427188396453857,0,0.9765728116035461
6af2b14e9712,C_Q2-2024,"And what that is, is in Argentina, we have capital there.",substantive,2,1,False,1,0.6833333333333332,0.14433756729740646,True,substantive,boilerplate,substantive,0.6,0.85,0.6,0.025213127955794334,0,0.9747868720442057
c289f62f7295,FDX_Q4-2025,"Last month, we named Brad Martin as Chairman of the Board of FedEx Freight.",substantive,3,0,False,3,0.7899999999999999,0.07937253933193772,False,substantive,substantive,substantive,0.7,0.85,0.82,0.025744998827576637,0,0.9742550011724234
825b9d970a1b,PLTR_Q2-2024,"Executives - Co-Founder, CEO & Director Well, and Shyam's leading this charge, but the reason it, I think, is likely to work is because not just America but every allied nation is -- has the problem that they cannot get their military production to work.",substantive,2,1,False,1,0.64,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.6,0.025793740525841713,0,0.9742062594741583
3d7ef2dbb11f,JNJ_Q2-2024,"And given our leadership position in China, we are seeing that as a short-term tailwind.",substantive,2,1,False,1,0.68,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.72,0.03163407742977142,0,0.9683659225702286
f6cdd83e99e9,INTC_Q4-2025,"And then, of course, they want to know the capacity, the pricing, those are all in the discussion right now.",substantive,0,3,False,3,0.7566666666666665,0.08144527815247078,False,boilerplate,boilerplate,boilerplate,0.7,0.85,0.72,0.032405465841293335,0,0.9675945341587067
1bc800e91014,PLTR_Q4-2025,They're committing to it at scale with Palantir as the driving force.,substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.03690281882882118,0,0.9630971811711788
a759b9f34b80,AMD_Q2-2025,"We really don't have that on the shelf, a finished good we can ship immediately.",substantive,2,1,False,1,0.7000000000000001,0.04999999999999999,True,boilerplate,substantive,substantive,0.7,0.75,0.65,0.04571916535496712,0,0.9542808346450329
720e1e947d2b,AVGO_Q1-2024,I do not go into production as a rail customer at this point.,substantive,2,1,False,1,0.7566666666666665,0.08144527815247078,True,boilerplate,substantive,substantive,0.7,0.85,0.72,0.05135828256607056,0,0.9486417174339294
c17151c09c50,INTC_Q3-2025,We are on track to bring Panther Lake to market this year.,substantive,3,0,False,3,0.8166666666666668,0.05773502691896257,False,substantive,substantive,substantive,0.75,0.85,0.85,0.05176426097750664,0,0.9482357390224934
732bd7ca3c77,PLTR_Q1-2024,"You see the same thing in the government, Shyam and others will talk about it, but our mission footprint, whether it's in Ukraine, Israel or in the United States government is stunning.",substantive,2,1,False,1,0.68,0.06928203230275509,True,boilerplate,substantive,substantive,0.6,0.72,0.72,0.05218352749943733,0,0.9478164725005627
58f9895c3cc6,BLK_Q1-2025,The market downturn impacts millions of ordinary people's retirement savings.,substantive,0,3,False,3,0.7799999999999999,0.163707055437449,False,boilerplate,boilerplate,boilerplate,0.6,0.92,0.82,0.05225642770528793,0,0.9477435722947121
59063ea2a07b,C_Q1-2024,"As I've said, though, there are a few areas where we are intensifying our processes and data remediation, particularly related to regulatory reporting.",substantive,3,0,False,3,0.6733333333333333,0.06429100507328636,False,substantive,substantive,substantive,0.7,0.72,0.6,0.05253370478749275,0,0.9474662952125072
19718b0d03e8,C_Q4-2024,"But I think the important takeaway should be that we're going to see continued momentum across the franchise, driven by loan growth in the branded card side of the business and continued deposit momentum, particularly operating deposits and services.",substantive,3,0,False,3,0.8066666666666666,0.07505553499465135,False,substantive,substantive,substantive,0.85,0.85,0.72,0.05364058539271355,0,0.9463594146072865
2fd1117f14d9,BLK_Q4-2023,They have capital solutions business that we don't have.,substantive,3,0,False,3,0.7000000000000001,0.04999999999999999,False,substantive,substantive,substantive,0.7,0.75,0.65,0.054276060312986374,0,0.9457239396870136
2d6217ec018c,NKE_Q1-2025,"I'd start by saying that as we look at the performance of our business over the last couple of seasons, retail sales have underperformed plan.",substantive,3,0,False,3,0.8466666666666667,0.06429100507328638,False,substantive,substantive,substantive,0.8,0.92,0.82,0.05458436533808708,0,0.9454156346619129
0b702b912913,FAST_Q3-2024,But the primary challenge remains sluggish end markets.,substantive,2,1,False,1,0.7000000000000001,0.1322875655532295,True,boilerplate,substantive,substantive,0.6,0.85,0.65,0.057535942643880844,0,0.9424640573561192
120650419731,NVDA_Q1-2026,"Leading platform companies, including Accenture, Cadence, Deloitte, and Microsoft are transforming work with our reasoning models.",substantive,3,0,False,3,0.7899999999999999,0.07937253933193772,False,substantive,substantive,substantive,0.7,0.85,0.82,0.05976308137178421,0,0.9402369186282158
3cf828ead524,NVDA_Q4-2026,"Executives - Co-Founder, CEO & Director This quarter, we significantly deepened and expanded our partnerships with leading frontier model makers.",substantive,3,0,False,3,0.7166666666666667,0.12583057392117916,False,substantive,substantive,substantive,0.7,0.85,0.6,0.0636541098356247,1,0.9363458901643753
62a966c88874,AVGO_Q1-2025,"So those are trends we see today and a lot of it coming out of AI, a lot of it coming out of sensitive rules on sovereignty in cloud and data.",substantive,2,1,False,1,0.7233333333333333,0.025166114784235857,True,substantive,substantive,boilerplate,0.7,0.72,0.75,0.0646999403834343,1,0.9353000596165657
