sentence_id,transcript,sentence,gold_label,vote_sub,vote_boi,is_tie,vote_margin,mean_conf,std_conf,provider_split,gpt_mini_balanced__label,haiku_pattern__label,sonnet_skeptic__label,gpt_mini_balanced__confidence,haiku_pattern__confidence,sonnet_skeptic__confidence,oof_proba,oof_pred,priority
732770e8592b,JNJ_Q2-2025,I will now comment on business sales performance in the quarter with a focus on the 6 areas Joaquin discussed that will drive significant growth for the enterprise.,boilerplate,1,2,False,1,0.8233333333333334,0.11239810200058246,True,substantive,boilerplate,boilerplate,0.7,0.92,0.85,0.9799768924713135,1,0.9199768924713134
33696859215a,INTC_Q2-2024,The AIPC category is transforming every aspect of the compute experience and Intel is at the forefront of this category creating moment.,boilerplate,0,3,False,3,0.7666666666666666,0.14433756729740646,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.85,0.9787728786468506,1,0.9187728786468505
e40a26a897bf,NKE_Q1-2025,"In addition, 2 of our largest performance franchises, Mercurial and Global Football and the G.T.",boilerplate,0,3,False,3,0.6833333333333332,0.14433756729740646,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.6,0.9732315540313721,1,0.913231554031372
455eb9019e8d,JNJ_Q3-2025,"I guess, I'm trying to understand if growth will accelerate next year on an adjusted operational basis, excluding the extra week?",boilerplate,1,2,False,1,0.7899999999999999,0.07937253933193772,False,boilerplate,substantive,boilerplate,0.7,0.85,0.82,0.9707226157188416,1,0.9107226157188415
27413ea3102d,FAST_Q3-2025,If -- there's nothing in there that I'm going to lose sleep over other than cautioning everybody in August to slow that down because it doesn't do anything for Q3.,boilerplate,1,2,False,1,0.7333333333333333,0.10408329997330662,False,boilerplate,boilerplate,substantive,0.7,0.85,0.65,0.9704099893569946,1,0.9104099893569946
c057408c9fae,INTC_Q4-2024,"And is that -- the line item in the financing section, is that going to keep getting bigger this year?",boilerplate,0,3,False,3,0.8133333333333334,0.11015141094572209,False,boilerplate,boilerplate,boilerplate,0.7,0.92,0.82,0.9666383862495422,1,0.9066383862495422
820eee423d81,NKE_Q4-2024,"And as we are saying, as we move into the end of this second half of this fiscal year, which we talk about is spring '25 and summer '25 of the seasons, the amount and breadth and depth of the innovation is just accelerating significantly.",boilerplate,0,3,False,3,0.7566666666666667,0.13650396819628846,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.82,0.9636521339416504,1,0.9036521339416503
aa6aec0334be,GS_Q2-2025,"If you've done any additional analysis that would inform -- I know you were asked about where you're comfortable running in terms of CET1, but just what you believe is durable or sustainable in terms of the gains that you realized this year?",boilerplate,0,3,False,3,0.7899999999999999,0.07937253933193772,False,boilerplate,boilerplate,boilerplate,0.7,0.85,0.82,0.9625252485275269,1,0.9025252485275268
3654fdf3c6b2,AMD_Q3-2024,"For my follow-up, you talked a little bit about lumpiness next year, is there any kind of seasonality or something that I to be thinking about specifically into Q1 for Data Center GPU?",boilerplate,0,3,False,3,0.88,0.05291502622129186,False,boilerplate,boilerplate,boilerplate,0.9,0.92,0.82,0.9621295928955078,1,0.9021295928955078
f2691c26136e,INTC_Q3-2024,"We are breathing life into the x86 architecture, and we're seeing extraordinary interest from the industry, from luminaries, and how we build on that momentum.",boilerplate,0,3,False,3,0.7566666666666667,0.13650396819628846,False,boilerplate,boilerplate,boilerplate,0.6,0.85,0.82,0.9595732688903809,1,0.8995732688903808
